vehicle,autotoll_number,vehicle_effective_date,vehicle_end_date
LSJE24030PG020394,CHTC10462335,,
LSJE24031PG020498,CHTC10460226,,
LSJE24032PG020395,CHTC10462336,,
LSJE24034PG020589,,,
LSJE24033PG020499,,,
LSJE24030PG020590,,,
LJ11KCBE4N1112094,,,
WMA08DZZ9NY443969,,,
WMA08DZZONY443553,,,
ZA9S5020EDAC38330,,,
LGDCLA1G6NA121333,,,
LGDCLA1G4NA121329,,,
LGDCLA1G4NA121330,,,
LGDCLA1G8NA121334,,,
LGDCLA1G2NA121331,,,
LGDCLA1G2NA121328,,,
LGDCLA1G4NA121332,,,
LSJE24034PG020480,,,
